model,dataset,engine,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,energy_reduction_vs_no_cache_pct,idle_adjusted_energy_reduction_vs_no_cache_pct,hit_rate,reuse_successes,reused_prefix_tokens_total,wasted_compute_ratio
Qwen/Qwen2.5-7B-Instruct,ag_news,shadow_kv,0.9981619648557508,0.9977752453315988,-3.773641069687191,8.720901148078084,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,ag_news,shadow_kv_plus,1.0155116841806922,1.0156231253424834,6.857588475235308,28.881008633078192,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,alpaca_eval,shadow_kv,1.0001415859070826,0.9984937159509032,0.3968263830982388,-0.925567102015792,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,alpaca_eval,shadow_kv_plus,1.0400633709422915,1.0314987176798869,6.310884718098863,7.091305890689704,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,banking77,shadow_kv,1.0017370403733388,1.005762180960348,0.6944795046618509,1.4936379914348266,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,banking77,shadow_kv_plus,1.0376816181630226,1.0294223482230638,12.367340115079474,16.43696034909676,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,cnn_dailymail,shadow_kv,0.9992576881031476,0.9969883864329588,1.0823594245607118,1.8080127752650437,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,cnn_dailymail,shadow_kv_plus,0.9920541254032916,0.9948730359360072,3.5661902352813457,5.678326780433495,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,daily_dialog,shadow_kv,1.0009775556138163,0.9992655817369628,0.3130702245135499,-0.3475663434223791,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,daily_dialog,shadow_kv_plus,1.023003420606296,1.0266483499660053,8.322710780946446,9.55538109213845,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,dolly,shadow_kv,1.0004519749481433,1.006576622870993,1.0956258676296522,1.7607462695434375,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,dolly,shadow_kv_plus,1.0379231997078413,1.0239862094181138,7.972746255676655,9.905933358360397,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,oasst1,shadow_kv,1.001758463667555,1.002963356350895,-2.169014785567028,-3.936810801670328,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,oasst1,shadow_kv_plus,1.0262500962188974,0.9711906606986388,8.584003852373527,9.778905679406185,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,samsum,shadow_kv,0.9999658769662724,1.0014009477730887,-0.8830589252474449,-0.7941985772617174,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,samsum,shadow_kv_plus,1.0132746629032974,1.015687929115684,6.582509348209923,7.88706529247902,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,ultrachat,shadow_kv,0.9993441078170384,0.9942085712153446,-1.330016607559087,-0.5863087466926725,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,ultrachat,shadow_kv_plus,1.0093130859190205,0.9997419585054867,4.905571429255146,7.221553078699872,0.9921875,127,16256,0.0
Qwen/Qwen2.5-7B-Instruct,xsum,shadow_kv,0.9986895970225916,0.9971461538038852,-0.3829300048089165,-0.1811108103930168,0.0,0,0,0.0
Qwen/Qwen2.5-7B-Instruct,xsum,shadow_kv_plus,0.9993044302395152,1.00610677624872,3.220091032007676,3.0238965042792776,0.9921875,127,16256,0.0
google/gemma-4-12B-it,ag_news,shadow_kv,0.9995364030012486,0.998796116273212,-0.7939908591524422,-0.7971499882019674,0.0,0,0,0.0
google/gemma-4-12B-it,ag_news,shadow_kv_plus,1.0728478165193769,1.0712395740693728,12.83913543934054,14.8048761710582,0.9921875,127,16256,0.0
google/gemma-4-12B-it,alpaca_eval,shadow_kv,0.9995542288013124,0.9992166270982475,-1.2278667042134872,-1.1634214056902288,0.0,0,0,0.0
google/gemma-4-12B-it,alpaca_eval,shadow_kv_plus,1.0787601770521176,1.0678226284451822,12.081631814598586,13.490328025579862,0.9921875,127,16256,0.0
google/gemma-4-12B-it,banking77,shadow_kv,0.9998631736934348,0.9983265680988264,-0.9826851397470068,-1.879699420709292,0.0,0,0,0.0
google/gemma-4-12B-it,banking77,shadow_kv_plus,1.0771460804602029,1.0686277251725438,11.62814002115908,12.820396597748836,0.9921875,127,16256,0.0
google/gemma-4-12B-it,cnn_dailymail,shadow_kv,0.9982668961848256,0.9985140377412892,-0.8823197405860554,-1.5198190279177892,0.0,0,0,0.0
google/gemma-4-12B-it,cnn_dailymail,shadow_kv_plus,2.330968166083347,2.470884967848292,60.58272357980104,64.22488683904666,0.9921875,127,16256,0.0
google/gemma-4-12B-it,daily_dialog,shadow_kv,1.0000241638131215,1.000454391665217,-0.5135333044266046,0.5263807185253909,0.0,0,0,0.0
google/gemma-4-12B-it,daily_dialog,shadow_kv_plus,1.114712448805983,1.2298706233888708,15.778411777588738,18.488833411358677,0.9921875,127,16256,0.0
google/gemma-4-12B-it,dolly,shadow_kv,1.0008256923793457,1.0056970814262838,0.7006250368659027,0.710373865189318,0.0,0,0,0.0
google/gemma-4-12B-it,dolly,shadow_kv_plus,1.1281374157243833,1.2736789827069972,15.488647871790366,16.6457389325728,0.9921875,127,16256,0.0
google/gemma-4-12B-it,oasst1,shadow_kv,0.9986171610528264,0.9985421452555314,-0.170709455628281,-0.96094384094466,0.0,0,0,0.0
google/gemma-4-12B-it,oasst1,shadow_kv_plus,1.1279287079038076,1.289359634925879,16.373470495519314,18.038139333385367,0.9921875,127,16256,0.0
google/gemma-4-12B-it,samsum,shadow_kv,1.0007737339165763,1.0008859262216392,0.7717452153657709,1.38005607164846,0.0,0,0,0.0
google/gemma-4-12B-it,samsum,shadow_kv_plus,1.4180578971320097,1.7496002625199123,35.7891083010468,39.18649422198797,0.9921875,127,16256,0.0
google/gemma-4-12B-it,ultrachat,shadow_kv,0.9996277691687367,0.9987348179243742,-0.1278098796999359,0.0510509190521549,0.0,0,0,0.0
google/gemma-4-12B-it,ultrachat,shadow_kv_plus,1.8715548775783752,1.919904796337006,48.66084944219409,51.861180210741296,0.9921875,127,16256,0.0
google/gemma-4-12B-it,xsum,shadow_kv,0.9999516779572132,0.9992442073600064,-0.9675185986071834,-0.879358699219272,0.0,0,0,0.0
google/gemma-4-12B-it,xsum,shadow_kv_plus,2.1101212098821245,2.247189808653733,56.90366191106966,60.827171283990175,0.9921875,127,16256,0.0
