dataset,early_layer_attempts,early_layer_hits,engine,exact_non_scaffold_policy_total,exact_policy_total,exact_scaffold_hits,hit_rate,logit_guard_attempts,logit_guard_hits,model,n_requests,path_reading,prompt_mode,reuse_successes,reused_prefix_tokens_total,scaffold_bypass_store_successes,scaffold_only_attempts,scaffold_only_hits,seed,semantic_opportunity_estimated_savings_ms,semantic_opportunity_plans_total,semantic_opportunity_reused_tokens_total,semantic_partial_hits,semantic_partial_policy_total,semantic_partial_reused_tokens_total,semantic_scaffold_store_successes,source_json
ag_news,,,shadow_kv,0,0,0,0.0,,,Qwen/Qwen2.5-1.5B-Instruct,16,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus,0,15,15,0.9375,,,Qwen/Qwen2.5-1.5B-Instruct,16,exact_scaffold_only,semantic,15,1920,1,0,0,42,0.0,0,0,0,0,0,0,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-1_5B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-1.5B-Instruct_public_dataset_ag_news_semantic_cuda.json
ag_news,,,shadow_kv,0,0,0,0.0,,,Qwen/Qwen2.5-3B-Instruct,16,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus,0,15,15,0.9375,,,Qwen/Qwen2.5-3B-Instruct,16,exact_scaffold_only,semantic,15,1920,1,0,0,42,0.0,0,0,0,0,0,0,results_smoke_seven_models_longprefix_smoke_20260713/Qwen_Qwen2_5-3B-Instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_Qwen_Qwen2.5-3B-Instruct_public_dataset_ag_news_semantic_cuda.json
ag_news,,,shadow_kv,0,0,0,0.0,,,TinyLlama/TinyLlama-1.1B-Chat-v1.0,16,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_smoke_seven_models_longprefix_smoke_20260713/TinyLlama_TinyLlama-1_1B-Chat-v1_0/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_TinyLlama_TinyLlama-1.1B-Chat-v1.0_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus,0,15,15,0.9375,,,TinyLlama/TinyLlama-1.1B-Chat-v1.0,16,exact_scaffold_only,semantic,15,1920,1,0,0,42,0.0,0,0,0,0,0,0,results_smoke_seven_models_longprefix_smoke_20260713/TinyLlama_TinyLlama-1_1B-Chat-v1_0/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_TinyLlama_TinyLlama-1.1B-Chat-v1.0_public_dataset_ag_news_semantic_cuda.json
ag_news,,,shadow_kv,0,0,0,0.0,,,google/gemma-4-12B-it,16,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_smoke_seven_models_longprefix_smoke_20260713/google_gemma-4-12B-it/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus,0,15,15,0.9375,,,google/gemma-4-12B-it,16,exact_scaffold_only,semantic,15,1920,1,0,0,42,0.0,0,0,0,0,0,0,results_smoke_seven_models_longprefix_smoke_20260713/google_gemma-4-12B-it/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_google_gemma-4-12B-it_public_dataset_ag_news_semantic_cuda.json
ag_news,,,shadow_kv,0,0,0,0.0,,,gpt2,16,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_smoke_seven_models_longprefix_smoke_20260713/gpt2/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_gpt2_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus,0,15,15,0.9375,,,gpt2,16,exact_scaffold_only,semantic,15,1920,1,0,0,42,0.0,0,0,0,0,0,0,results_smoke_seven_models_longprefix_smoke_20260713/gpt2/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_gpt2_public_dataset_ag_news_semantic_cuda.json
ag_news,,,shadow_kv,0,0,0,0.0,,,microsoft/Phi-3-mini-4k-instruct,16,no_reuse_path_executed,semantic,0,0,,,,42,,,,0,0,,,results_smoke_seven_models_longprefix_smoke_20260713/microsoft_Phi-3-mini-4k-instruct/semantic/seed_42/ag_news/shadow_kv/benchmark_hf_microsoft_Phi-3-mini-4k-instruct_public_dataset_ag_news_semantic_cuda.json
ag_news,0,0,shadow_kv_plus,0,15,15,0.9375,,,microsoft/Phi-3-mini-4k-instruct,16,exact_scaffold_only,semantic,15,1920,1,0,0,42,0.0,0,0,0,0,0,0,results_smoke_seven_models_longprefix_smoke_20260713/microsoft_Phi-3-mini-4k-instruct/semantic/seed_42/ag_news/shadow_kv_plus/benchmark_hf_microsoft_Phi-3-mini-4k-instruct_public_dataset_ag_news_semantic_cuda.json
