model,dataset,engine,speedup_vs_no_cache_mean,speedup_vs_no_cache_p95,energy_reduction_vs_no_cache_pct,idle_adjusted_energy_reduction_vs_no_cache_pct,hit_rate,reuse_successes,reused_prefix_tokens_total,wasted_compute_ratio
google/gemma-4-26B-A4B-it,ag_news,shadow_kv,1.0032226028968056,1.0038475155688429,0.6888199792155834,0.0439440280334124,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,ag_news,shadow_kv_plus,1.05410135663276,1.0526789543434707,9.047782329468562,12.185682314485058,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,alpaca_eval,shadow_kv,1.0027390882697067,1.0044631376265696,0.2747093913192854,1.7095952927394782,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,alpaca_eval,shadow_kv_plus,1.0432738273090598,1.0486173184374037,7.404813252775666,7.723674948565633,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,banking77,shadow_kv,0.9989006077964228,1.0001089665445575,-0.0633816793105088,2.71723996771608,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,banking77,shadow_kv_plus,1.070700081748993,1.071160677537169,9.122717255762568,10.999071834346008,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,cnn_dailymail,shadow_kv,0.9984991372092747,0.996436941074525,-0.5494916085300906,0.6202438219896758,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,cnn_dailymail,shadow_kv_plus,1.5946509389353123,1.5906042109153953,47.97748517161608,51.555975273297165,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,daily_dialog,shadow_kv,1.0014505710755708,1.0054277384490362,-0.6926243677813047,2.4646127519753502,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,daily_dialog,shadow_kv_plus,1.079579962274594,1.1366996836993783,10.474644130266588,14.560787758320004,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,dolly,shadow_kv,0.9999445862872473,1.0012073038858484,0.2555802564749934,-1.2494381684640086,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,dolly,shadow_kv_plus,1.0766027574653552,1.1457359982684343,10.62481050184726,10.88584874468794,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,oasst1,shadow_kv,0.9959221148679634,0.996193463129177,-0.5667079017177775,3.2030174579374333,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,oasst1,shadow_kv_plus,1.076723679775124,1.1564128914967806,11.55682375508691,13.805546485069488,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,samsum,shadow_kv,1.000120519336191,0.9981310195411948,-0.0946649479512291,0.2815723769118418,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,samsum,shadow_kv_plus,1.1658380793458294,1.2622811907036613,20.965768917522848,21.191021198086013,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,ultrachat,shadow_kv,1.0027019303182734,1.0037521707734365,0.2892992356000771,-2.9242491172492766,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,ultrachat,shadow_kv_plus,1.3896577605939244,1.3775832666875183,36.015517083128195,40.10477173981419,0.9921875,127,16256,0.0
google/gemma-4-26B-A4B-it,xsum,shadow_kv,0.9993235696825332,1.0002831692721763,-0.3306818779727514,0.7105484431159155,0.0,0,0,0.0
google/gemma-4-26B-A4B-it,xsum,shadow_kv_plus,1.4876753499231667,1.4859667537125527,42.757887465341646,48.54895129259173,0.9921875,127,16256,0.0
google/gemma-4-31B-it,ag_news,shadow_kv,0.9940648840619236,0.9937714483399692,-1.8013385260510577,3.7922129770488366,0.0,0,0,0.0
google/gemma-4-31B-it,ag_news,shadow_kv_plus,1.1385115124624028,1.1449317306259197,11.70556520602132,17.167484440116127,0.9921875,127,16256,0.0
google/gemma-4-31B-it,alpaca_eval,shadow_kv,1.0002003317945918,0.999256188220478,-0.3270621989099967,1.2442106743603958,0.0,0,0,0.0
google/gemma-4-31B-it,alpaca_eval,shadow_kv_plus,1.1450397023515608,1.1569034431251184,14.281835278337814,15.633739444334978,0.9921875,127,16256,0.0
google/gemma-4-31B-it,banking77,shadow_kv,0.9985362959127332,0.9982869025044764,-0.7229105843006207,0.0884196360742444,0.0,0,0,0.0
google/gemma-4-31B-it,banking77,shadow_kv_plus,1.139480248433667,1.155142322926899,14.233811404708849,15.144542429520426,0.9921875,127,16256,0.0
google/gemma-4-31B-it,cnn_dailymail,shadow_kv,0.9973482222661828,0.9970253227791288,-0.1784271429902609,-0.6854014456396997,0.0,0,0,0.0
google/gemma-4-31B-it,cnn_dailymail,shadow_kv_plus,2.7032326966891107,2.9575742314577425,65.1094001240819,66.40246675627631,0.9921875,127,16256,0.0
google/gemma-4-31B-it,daily_dialog,shadow_kv,0.9978165398825528,0.9990637941209192,-0.3003075913452102,0.099574862925225,0.0,0,0,0.0
google/gemma-4-31B-it,daily_dialog,shadow_kv_plus,1.20278379642734,1.3886023138558434,17.8278926541331,19.79306750887813,0.9921875,127,16256,0.0
google/gemma-4-31B-it,dolly,shadow_kv,0.9990153884580554,0.998975968416674,-0.1179570533611357,0.1957231632634282,0.0,0,0,0.0
google/gemma-4-31B-it,dolly,shadow_kv_plus,1.208468702308643,1.4000545403805025,18.233380866165707,19.27235499920582,0.9921875,127,16256,0.0
google/gemma-4-31B-it,oasst1,shadow_kv,0.9986599875724708,0.9989307481679957,0.0342069655824922,-0.6785195003624238,0.0,0,0,0.0
google/gemma-4-31B-it,oasst1,shadow_kv_plus,1.2246215107450034,1.422097176710036,18.725579773233363,20.418298761528305,0.9921875,127,16256,0.0
google/gemma-4-31B-it,samsum,shadow_kv,0.9984923855702018,0.9999291532276892,-0.4642920211880068,-1.9805301261677528,0.0,0,0,0.0
google/gemma-4-31B-it,samsum,shadow_kv_plus,1.4575619941662858,1.825699068918116,34.5783445294875,35.170223363397845,0.9921875,127,16256,0.0
google/gemma-4-31B-it,ultrachat,shadow_kv,0.9976373434517264,0.9974516749566236,-0.2864816393450403,1.2239281154013717,0.0,0,0,0.0
google/gemma-4-31B-it,ultrachat,shadow_kv_plus,1.9711470399321995,2.069306822239959,49.15699967243592,50.206044519022825,0.9921875,127,16256,0.0
google/gemma-4-31B-it,xsum,shadow_kv,0.9968696946810208,0.9971203676091464,-0.6037553698131798,-0.1471227179554763,0.0,0,0,0.0
google/gemma-4-31B-it,xsum,shadow_kv_plus,2.422664603798105,2.6767403113373365,60.59729475433604,62.02908931274972,0.9921875,127,16256,0.0
